Service Name,UDID,Diff Check Results,Field Path,Original Placeholder,Context Snippet,Generated Value
ProvideOpportunityStopInfringement,Dxxxx,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,The status and details of the relevant IP in the jurisdiction where suspected infringement occurred.,Check IP Status and Registrations
ProvideOpportunityStopInfringement,Dxxxx,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Whether the other party's conduct amounts to infringement, having regard towhat infringement looks l",Assess Infringement and Scope of Protection
ProvideOpportunityStopInfringement,Dxxxx,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,The identity and contact details of the suspected infringer. It's important to make sure you speak t,Identify the Suspected Infringer
ProvideOpportunityStopInfringement,Dxxxx,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Options for outcomes that would benefit or be agreeable to everyone involved.,Identify Mutually Beneficial Outcomes
ProvideOpportunityStopInfringement,Dxxxx,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,"Whether you will be prepared to be engaged in further correspondence, negotiation or even disputes w",Consider Future Correspondence and Follow-Through
ProvideOpportunityStopInfringement,Dxxxx,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,"Your plans to commercialise and promote your IP, and whether making informal contact could undermine",Evaluate IP Commercialization Strategy
ProvideOpportunityStopInfringement,Dxxxx,Pass,root.mainEntity[1].step[7].name,xXx_PLACEHOLDER_xXx,"Ways you can engage in an amicable, productive conversation with the other party.",Engage Amicably
StopInfringementFacilitatedOnline,Dxxxx,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,"Headline: StopInfringementFacilitatedOnline. Sections: StopInfringementFacilitatedOnline, How to pro",Discover effective strategies to tackle online infringement with StopInfringementFacilitatedOnline. Learn actionable steps to protect your digital content.
StopInfringementFacilitatedOnline,Dxxxx,Pass,root.mainEntity[0].@type,xXx_Err-PLACEHOLDER_xXx,StopInfringementFacilitatedOnline,Service
StopInfringementFacilitatedOnline,Dxxxx,Pass,root.mainEntity[0].provider.name,xXx_Err-PLACEHOLDER_xXx,"{'@type': 'Organization', 'name': 'xXx_Err-PLACEHOLDER_xXx'}",Placeholder Organization
StopInfringementFacilitatedOnline,Dxxxx,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"If you have detected infringement on an online platform, it is worth checking several platforms (suc",Check Multiple Platforms for Infringement
StopInfringementFacilitatedOnline,Dxxxx,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,"Evidence such as screenshots, product listings, and any other documentation that clearly demonstrate",Gather infringement evidence
StopInfringementFacilitatedOnline,Dxxxx,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Evidence that you are the legitimate owner of the IP. Some platforms require you to have a registere,Verify IP Ownership and Check Copyright Exceptions
StopInfringementFacilitatedOnline,Dxxxx,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,copyrightinfringement page,Report copyright infringement
StopInfringementFacilitatedOnline,Dxxxx,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,.,End the sentence
README,Dxxxx,Pass,root.mainEntity[0].serviceOperator.name,xXx_PLACEHOLDER_xXx,"{'@type': 'GovernmentOrganization', 'name': 'xXx_PLACEHOLDER_xXx'}",Department of Environmental Protection
